id,name,type,length_km,num_points
22658645,North River,river,0.303,7
23110069,Adyar River,river,8.141,37
23161547,Mambalam Canal,canal,2.089,30
23633592,Porur Lake,water,2.363,24
23648227,Kadaperi Lake,water,1.653,10
23648228,Irumbuliyur Lake,water,1.532,69
23648229,Chitlapakkam Lake,water,2.021,61
23648233,Tiruneermalai Eri,water,3.62,21
23649618,Reddy Kullam,water,0.189,12
23649619,Nemmili Lake,water,2.128,32
23804000,ICF Lake,water,1.443,7
23885099,Kandaswami Muthukumaraswami Koil Kulam,water,0.128,5
24270420,Kapaleeshwara Koil Kulam,water,0.642,5
24270487,Athikesvara Perumal Koil Kulam,water,0.319,5
25380261,Unnamed drain,drain,2.083,18
25391800,Ambattur Lake,water,6.17,36
25394157,Red Hills Reservoir,water,27.644,176
25394523,Sholavaram Lake,water,14.108,92
25395366,Krishna Canal,canal,23.362,179
25395844,Kosasthalaiyar River,river,16.763,46
25450397,Unnamed river,river,15.861,51
25450403,Unnamed drain,drain,1.353,8
25450412,Unnamed water,water,5.467,56
25450421,Unnamed river,river,3.732,24
25450426,Unnamed river,river,4.321,23
25450980,Unnamed canal,canal,8.16,23
25450988,Unnamed drain,drain,3.923,31
25451695,Unnamed drain,drain,2.673,11
25451750,Unnamed drain,drain,2.414,11
25453624,Chembarambakkam Lake,water,30.238,216
25454253,Unnamed stream,stream,2.284,20
25460072,Reddikuppam Canal,canal,0.468,9
25460321,Maruthur Gopalan Ramachandran Nagar Canal,canal,1.778,27
25460451,Unnamed drain,drain,1.451,16
25468747,Tinnanur Lake,water,8.356,30
25469646,Unnamed drain,drain,8.059,85
25474392,Unnamed stream,stream,0.755,3
25474535,Captain Cotton Canal,drain,2.992,15
25474612,Korattur Lake,water,8.535,76
25474749,Retteri Lake,water,5.577,32
25474766,Kodungaiyur Canal,drain,2.566,20
25474770,Link Canal,drain,0.532,3
25504265,Velachery Lake,water,3.239,28
25650075,Unnamed drain,drain,0.811,21
25724261,Adambakkam Lake,water,1.021,30
25724278,Pannachiamman Koil Tank,water,0.393,5
25725027,Madipakkam Lake,water,2.277,56
25726316,Puzhuthivakkam Lake,water,1.495,29
25850571,Unnamed wetland,wetland,4.348,6
25850690,Arani,river,32.065,103
25921389,Somangalam Lake,water,5.32,29
26072329,Unnamed drain,drain,7.454,52
26188336,Joins with Chembarampakkam Surplus,stream,9.17,97
26188360,Unnamed water,water,7.322,88
26188460,Unnamed stream,stream,0.071,2
26433707,Sembakkam lake,water,3.082,47
26776322,Unnamed drain,drain,2.099,26
26800736,Retteri Lake,water,2.314,24
26807593,Unnamed canal,canal,4.911,33
27203001,Ellaiamman Koil Kulam,water,0.309,5
27618345,Unnamed drain,drain,0.166,5
27708784,Jawahar Canal,drain,0.949,4
27708793,Vyasarpadi Canal,drain,0.713,8
27708880,Otteri Nullah,drain,10.344,101
27709103,Trustpuram Canal,canal,1.496,9
27709396,Jafferkhanpet Canal,canal,0.407,5
27709553,Raj Bhavan Canal,drain,0.07,2
27771449,Vadapalani Murugan Temple Pond,water,0.276,5
27877877,Unnamed drain,drain,1.993,15
28050360,Krishna Canal,canal,18.841,53
28120029,Unnamed drain,drain,1.002,11
28121830,Unnamed drain,drain,8.488,73
28260258,Vadakkapattu Lake,water,2.218,12
28260431,Nanmangalam Lake,water,3.062,21
28260577,Selaiyur Lake,water,2.957,18
28261148,Balaji Nagar Lake,water,2.397,23
28309481,Unnamed water,water,0.766,45
28309498,Unnamed water,water,0.529,45
28309593,Unnamed water,water,0.88,79
28309687,Tirisulam Lake,water,0.679,65
28310149,Unnamed water,water,0.528,37
28310161,Unnamed water,water,0.447,36
28342742,Unnamed drain,drain,0.994,27
28502295,Unnamed drain,drain,1.083,14
28746681,Unnamed drain,drain,1.945,34
28746682,Moat,drain,0.394,5
29047592,Marundeeshwara Temple Tank,water,0.363,5
29071936,Unnamed drain,drain,0.199,4
29071941,Unnamed drain,drain,0.201,4
29241216,Agathishwara Perumal Koil Kulam,water,0.279,5
29245371,Temple Tank (Sri Varadharaja perumal Temple),water,0.379,5
29246065,Periyathoppu Lake,water,1.723,12
29973898,Pennalur Lake,water,2.151,18
30025552,IIT Lake,water,3.12,65
30037017,Unnamed drain,drain,0.498,7
30037018,Oxidation Pond,water,0.514,5
30037019,Oxidation Pond,water,0.499,8
30078793,Kovilpadagai Lake,water,4.924,70
30118530,Unnamed water,water,1.141,10
30118691,Naattu Kaalvaai,drain,2.487,37
30128515,Chembrampakkam Surplus to Adayar,river,6.076,69
30137291,Chembarambakkam irrigation canal,canal,2.421,133
30209756,Vengambakkam Lake,water,1.978,28
30209758,Unnamed drain,drain,0.467,7
30424450,Perumbakkam Lake,water,3.854,43
30425323,Unnamed water,water,4.025,15
30606822,Velachery Lake,water,1.273,42
30609167,Kallu Kuttai Lake,water,1.555,23
30624441,Unnamed water,water,8.144,96
30625195,Alappakkam Madhuravoyal Eri,water,1.017,24
30738635,ETPS Flyash Pond,water,1.437,6
30738642,ETPS Flyash Pond,water,4.157,15
30738675,Unnamed river,river,1.386,7
30746879,Unnamed water,water,0.968,11
30777996,Kosasthalaiyar River,river,17.483,55
30778453,Padappai Lake,water,3.894,59
30799532,Unnamed water,water,3.291,38
30799589,Unnamed water,water,1.942,20
30799618,Navalur Eri,water,2.473,20
30799655,Unnamed water,water,2.148,18
30978033,Kandasamy Koil Tank,water,0.111,5
30981164,Unnamed drain,drain,1.783,22
31017955,Unnamed water,water,1.972,23
31019920,Red Hills Reservoir Overflow,drain,5.026,47
31020934,Periyathoppu Lake,water,2.77,17
31243200,Unnamed water,water,0.219,5
31252968,Unnamed water,water,10.394,39
31253726,Unnamed water,water,3.737,18
31255512,Unnamed water,water,3.788,15
31613582,Unnamed drain,drain,0.304,5
31616568,Unnamed drain,drain,0.607,2
31616569,Unnamed drain,drain,0.29,2
32017928,Palavedu Eri,water,3.956,34
32066592,Manivakkam Lake,water,3.287,26
32253705,Unnamed drain,drain,0.439,7
32253842,New Perungalathur Lake,water,1.733,17
32306856,Balasubramani Temple Tank,water,0.088,5
32685679,Unnamed drain,drain,0.056,2
32742657,Unnamed stream,stream,1.691,45
32945537,Unnamed water,water,0.673,13
32995619,Thamarai Kulam,water,0.883,13
33069045,ETPS Oxidation Pond,water,0.317,5
33071135,Thyagarajaswami Koil Tank,water,0.331,5
33630146,Temple Tank,water,0.152,5
33630325,Unnamed water,water,0.871,11
34108718,Unnamed water,water,3.097,21
34108719,Unnamed water,water,1.596,13
34108720,Unnamed water,water,1.817,13
34108721,Unnamed water,water,1.273,15
34108723,Unnamed water,water,2.135,14
34108738,Unnamed water,water,5.391,45
34108740,Unnamed water,water,1.991,16
34108741,Unnamed water,water,1.112,10
34108742,Unnamed water,water,1.426,11
34108746,Unnamed water,water,3.647,30
34108747,Unnamed water,water,1.079,8
34108748,Unnamed water,water,0.982,8
34108749,Unnamed water,water,1.245,7
34108758,Unnamed water,water,1.121,11
34108759,Unnamed water,water,2.474,17
34108760,Unnamed water,water,0.82,9
34108761,Unnamed water,water,1.682,21
34108762,Unnamed water,water,3.391,30
34108763,Unnamed water,water,2.294,36
34108764,Unnamed water,water,1.905,16
34108765,SriPerumpudur lake,water,11.939,90
34108766,Unnamed water,water,4.641,34
34108767,Unnamed water,water,5.073,36
34108768,Unnamed water,water,2.65,18
34108771,Unnamed water,water,4.528,34
34108772,Unnamed water,water,5.93,34
34108773,Unnamed water,water,2.344,17
34108774,Unnamed water,water,2.777,29
34108775,Unnamed water,water,2.467,25
34108776,Unnamed water,water,2.956,27
34108777,Unnamed water,water,1.77,11
34108778,Unnamed water,water,2.343,26
34108779,Unnamed water,water,2.632,65
34108780,Unnamed water,water,3.51,24
34483982,Unnamed water,water,2.61,19
34483988,Unnamed water,water,1.858,17
34483989,Unnamed water,water,3.179,77
34483992,Unnamed wetland,wetland,1.155,17
34483994,Unnamed wetland,wetland,1.498,27
34483995,Unnamed water,water,1.677,16
34483997,Nagaraja aeri,water,2.836,23
34483999,Unnamed water,water,2.825,26
34484000,Konimedu Lake,water,1.926,13
34484001,Unnamed water,water,1.433,11
34484002,Unnamed water,water,1.584,16
34484007,Unnamed water,water,1.721,109
34484008,Vellanur aeri,water,2.599,38
34484010,Unnamed water,water,1.372,9
34484011,Unnamed water,water,1.169,12
34618168,Ayapakkam Lake,water,2.733,33
35459575,Unnamed water,water,3.323,53
35460561,Unnamed water,water,1.106,8
35475053,Karaneeswarar Temple Tank,water,0.277,5
35475132,Prasanna Venkatesa Perumal Koil Kulam,water,0.118,5
38423094,Unnamed drain,drain,1.088,21
38424012,Irungattukottai lake,water,2.208,29
47109361,Kachaleeswara Temple Reservoir,water,0.168,5
47109373,Malligeshwarar Temple Reservoir,water,0.129,5
47415291,Kondithope Kasi Viswanathar Koil,water,0.292,5
47571166,Thiruvateeswaran Koil Kulam,water,0.183,5
47572261,Rajakilpakkam Lake,water,1.716,28
47572610,Unnamed water,water,4.831,37
47572658,Unnamed water,water,4.168,24
48057021,Gangadeeshwarar Koil Kulam,water,0.254,5
48737652,Unnamed water,water,0.326,5
48738675,Unnamed water,water,0.219,8
64398240,Unnamed water,water,0.275,6
67551369,Unnamed water,water,2.988,34
82874921,Unnamed drain,drain,0.855,28
82874933,Nesavalar Nagar Lake,water,1.503,23
82883544,Mambakkam Lake,water,2.785,18
82883553,Maambakkam Lake,water,2.551,20
82883558,Unnamed water,water,1.286,155
82883586,Unnamed water,water,4.394,28
82883601,Unnamed water,water,3.272,35
82883604,Chitrerari Lake,water,1.898,143
83075012,Unnamed water,water,4.104,149
83300092,Aquarium,water,0.116,5
84086853,Unnamed water,water,2.091,19
84086856,Unnamed water,water,1.373,18
84086873,Unnamed water,water,2.868,21
84086883,Unnamed water,water,1.943,17
84087728,Unnamed water,water,3.613,28
84087731,Koovam Eri,water,10.175,83
