category,osm_id,osm_type,lat,lon,name,amenity,healthcare,operator,capacity,beds,emergency,phone,website,priority
hospitals,248420920,node,13.0386493,80.2052158,Kalaignar Karunanidhi Nagar,hospital,hospital,Hospital,,,,,,medium
hospitals,248559397,node,13.0720236,80.1980375,Koyambedu,clinic,,,,,,,,medium
hospitals,248560797,node,13.122775,80.2960584,Kasimedu,hospital,hospital,,,,,,,medium
hospitals,258978416,node,13.0922007,80.2792912,Amrit Hospital,hospital,hospital,,,,,,http://www.amrithospital.com/,medium
hospitals,258978417,node,13.0985007,80.2796178,Vikram Hospital,hospital,hospital,,,,,,,medium
hospitals,262452334,node,13.08438,80.2160862,City Tower Hospitals,hospital,hospital,,,,,,http://www.citytowerhospitals.net/contact.asp,medium
hospitals,289486820,node,13.1289367,80.2905623,"Apollo Hospitals, Tondiarpet",hospital,hospital,Apollo Hospitals,,,,,https://www.apollohospitals.com/,medium
hospitals,295544111,node,13.0844424,80.2130723,K.H.M.Hospital,hospital,hospital,,,,,,https://khmhospital.com/,medium
hospitals,295552091,node,13.08217,80.2069819,Sundaram Medical Foundation,hospital,hospital,,,,,,,medium
hospitals,295552092,node,13.0887983,80.1994692,Sri Devi Speciality Hospial,hospital,hospital,,,,,,,medium
hospitals,303590777,node,13.0336624,80.2572467,Corporation Hospital,hospital,hospital,,,,,,,medium
hospitals,308811614,node,12.9787682,80.1846471,"Hindu Mission Health Services, Kanchipuram",hospital,hospital,,,,,,,medium
hospitals,310015097,node,13.0194622,80.1972947,Military Hospital,hospital,,,,,,,,medium
hospitals,310504820,node,13.0829605,80.281264,Goverment dental hospital & collage,hospital,hospital,,,,,,,medium
hospitals,310732936,node,13.0785984,80.2433369,Kilpauk Medical College,hospital,hospital,,,,,,,medium
hospitals,310909754,node,12.9847145,80.1905906,Hariharan Hospital,hospital,hospital,,,,,,http://hariharanhospitals.com/,medium
hospitals,310910945,node,12.9887616,80.1904116,BM Hospital,hospital,hospital,,,,,044-22670277,https://bmhospitals.com/,medium
hospitals,311429396,node,12.973463,80.1841397,K.F. Hospital,hospital,hospital,,,,,,,medium
hospitals,312000326,node,13.0061338,80.239884,Cancer Institute,hospital,hospital,,,,,,,medium
hospitals,313027868,node,13.0380979,80.1428047,Sri Ramachandra Medical Centre and Hospital,hospital,hospital,,,,,,,medium
hospitals,320275820,node,13.0720996,80.2589871,Govt Maternity Hospital,hospital,hospital,,,,,,,medium
hospitals,320275824,node,13.0735496,80.257025,Institute of Child Health,hospital,hospital,,,,,,,medium
hospitals,320275839,node,13.0735431,80.2591463,Institute of Obstetrics and Gynaecology dd,hospital,hospital,,,,,,,medium
