category,osm_id,osm_type,lat,lon,name,amenity,healthcare,operator,capacity,beds,emergency,phone,website,priority
power_infrastructure,335527138,node,13.0002782,80.2556245,Unnamed,,,,,,,,,medium
power_infrastructure,335527174,node,13.0064206,80.2485804,Unnamed,,,,,,,,,medium
power_infrastructure,1597174757,node,13.0594778,80.2009363,Unnamed,,,,,,,,,medium
power_infrastructure,9062742770,node,13.2980013,80.1504584,Panjetty substation,,,,,,,,,medium
power_infrastructure,25850550,way,13.2823822,80.310264,Ennore SEZ Super Critical Thermal Power Project (Vayalur),,,,,,,,,medium
power_infrastructure,28342737,way,13.0981662,80.2697294,Basin Bridge Gas Turbine Power Station,,,Tamil Nadu State Electricity Board,,,,,,medium
power_infrastructure,30738573,way,13.1995006,80.3094811,Ennore Thermal Power Station,,,Tamil Nadu Generation and Distribution Corporation,,,,,,medium
power_infrastructure,30787653,way,12.9466836,80.1309352,Kadaperi,,,TANTRANSCO,,,,,,medium
power_infrastructure,30789370,way,13.0026812,79.9970719,Unnamed,,,,,,,,,medium
power_infrastructure,30814111,way,12.9828999,79.976806,Pennalur TNEB Substation,,,TANTRANSCO,,,,,,medium
power_infrastructure,31957160,way,13.0685667,80.20859,Unnamed,,,TNEB,,,,,,medium
power_infrastructure,34654567,way,13.2066712,80.0989958,Alamathi,,,,,,,,,medium
power_infrastructure,35283414,way,13.1086565,80.2689496,Vyasarpadi,,,TANTRANSCO,,,,,,medium
power_infrastructure,38424061,way,12.9808819,79.975063,Sriperumbudur,,,Power Grid Corporation of India Limited,,,,,,medium
power_infrastructure,102546589,way,13.2489467,80.3277584,North Chennai Thermal Station,,,Tamil Nadu Generation and Distribution Corporation,,,,,,medium
power_infrastructure,102565511,way,13.1750535,80.2730827,Manali,,,TANTRANSCO,,,,,,medium
power_infrastructure,131425319,way,12.975704,80.2422485,Taramani,,,TANTRANSCO,,,,,,medium
power_infrastructure,133591372,way,13.2369124,80.3067214,Vallur Thermal Power Station,,,,,,,,,medium
power_infrastructure,155204896,way,12.9849411,80.2507804,Unnamed,,,,,,,,,medium
power_infrastructure,179249267,way,12.9418717,80.1871146,Kovilam Palkam,,,,,,,,,medium
power_infrastructure,245547198,way,13.2978581,80.1497319,Panjetty substation,,,TANTRANSCO,,,,,,medium
power_infrastructure,245547226,way,13.2400615,80.3022605,VallurTPS,,,NTECL,,,,,,medium
power_infrastructure,245547231,way,13.3261974,80.1452711,Unnamed,,,,,,,,,medium
power_infrastructure,245697641,way,13.2604343,80.2733334,Melur,,,TANTRANSCO,,,,,,medium
power_infrastructure,245697642,way,13.2536846,80.1721689,Sothuperumbedu,,,TANTRANSCO,,,,,,medium
power_infrastructure,245697668,way,13.1797167,80.2791021,Unnamed,,,,,,,,,medium
power_infrastructure,245697669,way,13.175536,80.274977,Unnamed,,,,,,,,,medium
power_infrastructure,245697670,way,13.1587691,80.2662045,Unnamed,,,,,,,,,medium
power_infrastructure,245697671,way,13.1706802,80.2762689,Unnamed,,,,,,,,,medium
power_infrastructure,245697672,way,13.3179851,80.3373269,Unnamed,,,,,,,,,medium
power_infrastructure,245697674,way,13.1788167,80.2809331,Unnamed,,,,,,,,,medium
power_infrastructure,245697676,way,13.1729006,80.2674139,Unnamed,,,,,,,,,medium
power_infrastructure,245697677,way,13.1777221,80.26313,Unnamed,,,,,,,,,medium
power_infrastructure,245697678,way,13.1741315,80.2787188,Unnamed,,,,,,,,,medium
power_infrastructure,245697679,way,13.1886061,80.2651711,Unnamed,,,,,,,,,medium
power_infrastructure,245697680,way,13.2739912,80.3167902,Unnamed,,,,,,,,,medium
power_infrastructure,245697697,way,13.2678202,80.31169,Athipattu,,,TANTRANSCO,,,,,,medium
power_infrastructure,245697699,way,13.2918376,80.3220836,Unnamed,,,,,,,,,medium
power_infrastructure,245697700,way,13.1731174,80.272727,Unnamed,,,,,,,,,medium
power_infrastructure,245697701,way,13.1281058,80.2764289,Unnamed,,,,,,,,,medium
power_infrastructure,245726104,way,12.8637072,79.9413303,Oragadam,,,TANTRANSCO,,,,,,medium
