category,osm_id,osm_type,lat,lon,name,amenity,healthcare,operator,capacity,beds,emergency,phone,website,priority
schools,247432808,node,12.9864437,79.9717629,Sri Venkateswara College of Engineering - SVCE,college,,,,,,,,medium
schools,300467984,node,12.9853147,80.2029459,New Prince Higher Secondary,school,,,,,,,,medium
schools,300468062,node,12.9868373,80.206505,St. Marks School,school,,,,,,,,medium
schools,312014519,node,12.9704142,80.186583,Brilliant Matriculation School,school,,,,,,,,medium
schools,312015795,node,12.985101,80.1894583,Mowbray's Matriculation Higher Secondary School,school,,,,,,,,medium
schools,325787792,node,12.8861992,80.2460833,Shri Sakthi Vidyalaya,school,,,,,,,,medium
schools,347356350,node,13.0542557,80.1943992,Balalok Matriculation Higher Secondary School,school,,,,,,,,medium
schools,347362882,node,13.0530994,80.1967081,JaiGopal Garodia Girls High school,school,,,,,,,,medium
schools,364997861,node,13.0141314,80.2052179,Central Institute of Petrochemicals Engineering and Technology,college,,,,,,+914422254780,https://www.cipet.gov.in/,medium
schools,417776186,node,13.0034528,80.2677285,Olcott Memorial HSS,school,,,,,,,,medium
schools,432468191,node,12.9489729,80.1397503,DCOE Office,college,,,,,,,,medium
schools,432468195,node,12.9481562,80.1397886,Lecture Hall Complex,college,,,,,,,,medium
schools,432468196,node,12.9486173,80.1407986,Department of Aeronautical Engineering,college,,,,,,,,medium
schools,432468200,node,12.9491126,80.1409786,Mechatronics,college,,,,,,,,medium
schools,432468201,node,12.9492943,80.1410981,Department of Production Technology,college,,,,,,,,medium
schools,432468205,node,12.9478814,80.1403398,Department of Automobile Engineering,college,,,,,,,,medium
schools,432468246,node,12.9484691,80.1398525,RLHC (Rajam Lecture Hall Complex),college,,,,,,,,medium
schools,454193658,node,12.9888607,79.9711278,Research and Deevelopment,college,,,,,,,,medium
schools,454194685,node,12.9885262,79.9716513,Workshop,college,,,,,,,,medium
schools,454194870,node,12.9884426,79.972338,Workshop,college,,,,,,,,medium
schools,454195125,node,12.9874229,79.9730427,Computer Science,college,,,,,,,,medium
schools,454195129,node,12.9877986,79.9727414,Mechanical,college,,,,,,,,medium
schools,454195516,node,12.9871211,79.9726813,Applied Science,college,,,,,,,,medium
schools,454195584,node,12.9874306,79.9723723,Electronics,college,,,,,,,,medium
schools,454195601,node,12.9878153,79.9722092,Chemical,college,,,,,,,,medium
schools,454195953,node,12.9872298,79.9725783,MCA,college,,,,,,,,medium
schools,454196897,node,12.9869873,79.9720461,Administration,college,,,,,,,,medium
schools,454201394,node,12.9877902,79.9714711,Marine,college,,,,,,,,medium
schools,454201424,node,12.9878404,79.9711192,Workshop,college,,,,,,,,medium
schools,454201428,node,12.9878738,79.9718659,Workshop,college,,,,,,,,medium
schools,454201440,node,12.9873176,79.9714898,Biotechnology,college,,,,,,,,medium
schools,454205428,node,12.9870716,79.973147,Information Technology,college,,,,,,,,medium
schools,454207145,node,12.9880407,79.9727033,CRB3,college,,,,,,,,medium
schools,454207263,node,12.986636,79.972398,CRB1,college,,,,,,,,medium
schools,454207328,node,12.9868033,79.9725869,CRB2,college,,,,,,,,medium
schools,459641978,node,13.0542712,80.2036334,LaClarence Matriculation Higher Secondary Schoolt,school,,,,,,,,medium
schools,459652832,node,13.0438348,80.1981602,Thai Sathia School,school,,,,,,,,medium
schools,473396856,node,13.0074771,80.2613841,Starlight Abacus School,school,,,,,,,,medium
schools,560231368,node,12.9426246,80.1416397,NSN School,school,,,,,,,,medium
schools,595654418,node,12.953827,80.1368303,Government Boys Higher Secondary School,school,,,,,,,,medium
schools,595655153,node,12.9519873,80.1345334,Lakshmi Ammal School,school,,,,,,,,medium
schools,595657131,node,13.060167,80.1937294,Chinmaya Vidyalaya,school,,,,,,,,medium
schools,595735861,node,13.0474865,80.1873415,St. John's Matriculation Higher Secondary School,school,,,,,,,,medium
schools,597659101,node,13.0261044,80.0162591,Saveetha Engineering College,college,,,,,,,,medium
schools,598059387,node,12.9523982,80.1344901,Government Girls Higher Secondary School,school,,,,,,,,medium
schools,612546126,node,13.0735855,80.2088301,Kanmani Montessori School,school,,,,,,,,medium
schools,612556884,node,13.0798455,80.2106862,Anna Adharsh College for Women,college,,,,,,,,medium
schools,614436617,node,13.0734099,80.2062046,Ambal Metriculation School,school,,,,,,,,medium
schools,747616456,node,12.9787977,80.2224844,Akshaya,school,,,,,,,,medium
schools,761949200,node,12.9214424,80.1869452,Christ King School,school,,,,,,,,medium
schools,934859077,node,13.0442984,80.1853388,La Chatlaine,school,,,,,,,,medium
schools,941467495,node,13.0745115,80.2139192,Kolla Perumal (KPVCSS),school,,,,,,,,medium
schools,953110024,node,13.1285206,80.149466,Velammal School (Ambattur),school,,,,,,,,medium
schools,968597207,node,12.9940844,80.2470141,The Institute of Mathematical Sciences,college,,,,,,+91 44 2254 3100,https://www.imsc.res.in/,medium
schools,983957835,node,12.9674323,80.1281637,Sarada Matriculation School,school,,,,,,,,medium
schools,983957836,node,12.9656183,80.1275092,Meenakshi Krishan Polytechnic College,college,,,,,,+91 94897 06198,https://www.mkpt.org/,medium
schools,983959722,node,12.9660634,80.1263205,Ammaniammal School,school,,,,,,,,medium
schools,1003378082,node,12.9831591,80.2104214,Bala Saravana Matriculation School,school,,,,,,,,medium
schools,1015568367,node,13.0301954,80.1774604,Assisi School,school,,,,,,,,medium
schools,1015578645,node,13.0397071,80.1996798,PSBB School,school,,,,,,,,medium
schools,1015585631,node,13.0382542,80.1976842,Sri Krishna Swamy Mat. Hr. Sec. School,school,,,,,,,,medium
schools,1044780333,node,12.9515892,80.2606515,German School Chennai,school,,,,,,,,medium
schools,1069491369,node,13.0885001,80.2777394,SSV Hr Sec School,school,,,,,,,,medium
schools,1069491576,node,13.0883355,80.2772191,AB Parekh Hr Sec School,school,,,,,,,,medium
schools,1127295227,node,13.0538146,80.2143813,Janaki Ramachandran Matriculation Scool,school,,,,,,,,medium
schools,1185700733,node,13.1040356,80.1014998,RCM Hr Sec School,school,,,,,,,,medium
schools,1185701481,node,13.1111306,80.0989678,Nazereth Metriculation School,school,,,,,,,,medium
schools,1306385769,node,13.0247563,80.189912,Amrita Vidyalaya,school,,,,,,,,medium
schools,1329321951,node,12.9284826,80.2024966,St Peters School,school,,,,,,,,medium
schools,1329326250,node,12.9079132,80.2016416,Bharatha Vidhyalaya School,school,,,,,,,,medium
schools,1329336746,node,12.9242267,80.1982298,Pallikarani Govt Higher Secondary School,school,,,,,,,,medium
schools,1330443392,node,12.9253386,80.2003719,Asan Memorial College,school,,,,,,,,medium
schools,1446841958,node,13.0542995,80.2028196,Govt School,school,,,,,,,,medium
schools,1446842407,node,13.0543125,80.2059776,Barathi Vidayala School - Block 1,school,,,,,,,,medium
schools,1446842408,node,13.0538945,80.2061707,Barathi Vidayala School - Block 2,school,,,,,,,,medium
schools,1596154407,node,12.9758373,80.221575,Lets do Something - Activity center,school,,,,,,,,medium
schools,1621240490,node,13.1195338,80.1549408,Maha Ganesa Vidyalaya,school,,,,,,,,medium
schools,1636170540,node,12.9667572,80.2155154,Pon Vidhyashram School,school,,,,,,,,medium
schools,1636171309,node,12.9757851,80.2123879,SAN Academy,school,,,,,,,,medium
schools,1636178008,node,12.9579014,80.1928829,Vailankanni Silver Jubilee Matriculation Higher Secondary School,school,,,,,,+91 44 2247 6880,,medium
schools,1653993044,node,13.0916188,80.2075894,"Chinmaya Vidhyalaya, Anna Nagar",school,,,,,,,,medium
schools,1672262615,node,13.0017,80.266308,St.Johns English School,school,,,,,,,,medium
schools,1760694106,node,12.9694641,80.1944308,Prince Matric Hr Sec School,school,,,,,,,,medium
schools,1760907465,node,12.9705025,80.1970465,Thandai Periyar Govt High School,school,,,,,,,,medium
schools,1825978766,node,13.1355943,80.2515179,FES Matriculation Higher Secoundary School,school,,,,,,,,medium
schools,1836798405,node,12.9156126,80.1872129,Unnamed,school,,,,,,,,medium
schools,1896333049,node,13.1303994,80.1050834,Vijayantha,school,,,,,,,,medium
schools,1896342348,node,13.1299083,80.1108341,KV HVF,school,,,,,,,,medium
schools,1896345709,node,13.1242505,80.1062261,VHHS,school,,,,,,,,medium
schools,1926709450,node,12.9862277,80.1855109,Jawaharlal Nehru Government Boys School,school,,,,,,,,medium
schools,2053800293,node,12.9454618,80.1945713,Himayam Matric School,school,,,,,,,,medium
schools,2059560611,node,12.9459767,80.239775,Dhanraj Baid Jain College,school,,,,,,,,medium
schools,2064178200,node,12.9456616,80.2395863,CL Baid Metha College Of Pharmacy,school,,,,,,,,medium
schools,2071087259,node,12.9456667,80.2395755,CL Baid Metha College of Pharmacy,school,,,,,,,,medium
schools,2071090050,node,12.9457912,80.239551,CL Baid Sishya School,school,,,,,,,,medium
schools,2086712181,node,12.956025,80.1850444,Goverment school,school,,,,,,,,medium
schools,2115851259,node,12.9215926,80.2488853,Vael's Bilabong School,school,,,,,,,,medium
schools,2117666024,node,12.9214372,80.2416769,KCG College of Technology,school,,,,,,,,medium
schools,2117671390,node,12.9177981,80.2410536,National Institute of Management Studies,school,,,,,,,,medium
schools,2123575602,node,12.9530789,80.2446878,Chettinadu A School,school,,,,,,,,medium
schools,2124725682,node,12.9334921,80.2365085,Akshara School,school,,,,,,,,medium
schools,2124849459,node,12.9766406,80.2505858,YMCA SCHOOL,school,,,,,,,,medium
schools,2124854755,node,12.9554398,80.2482807,Global Institute Of Gaming And Animation,school,,,,,,,,medium
schools,2125926272,node,12.766665,80.2046545,SMK Fomra Institute Of Technology,school,,,,,,,,medium
schools,2125926806,node,12.7645723,80.2094611,PSB Polytechnic College,school,,,,,,,,medium
schools,2125931152,node,12.7948315,80.218881,Professor Dhanapalan College For Women,school,,,,,,,,medium
schools,2125931156,node,12.7729222,80.2075084,Unnamed,school,,,,,,,,medium
schools,2127107074,node,12.9647302,80.2433123,St.Pius school,school,,,,,,,,medium
schools,2210024243,node,12.8961318,80.1828607,Sithalapakkam Government High School,school,,,,,,,,medium
schools,2270917857,node,12.9895379,80.1000841,Vivekananda School,school,,,,,,,,medium
schools,2270917858,node,12.9873006,80.1065161,Sivanthi Public School,school,,,,,,,,medium
schools,2296733697,node,13.0756063,80.2720867,Dhanakoti Middle School,school,,,,,,,,medium
schools,2296734281,node,13.0755096,80.2722477,Kalyanam Girls High School,school,,,,,,,,medium
schools,2296735136,node,13.0763065,80.2719607,Kalyanam Girls Higher Secondary School,school,,,,,,,,medium
schools,2296736065,node,13.075008,80.2732159,Chintadripet Boys Higher Secondary School,school,,,,,,,,medium
