category,osm_id,osm_type,lat,lon,name,amenity,healthcare,operator,capacity,beds,emergency,phone,website,priority
transportation,243060332,node,13.0334336,80.2679457,மைலாப்பூர்,bus_station,,,,,,,,medium
transportation,247691544,node,13.0512112,80.2778386,V House Bus Terminus,bus_station,,,,,,,,medium
transportation,248454339,node,13.0511602,80.0949546,Poonamallee MTC Terminus,bus_station,,,,,,,,medium
transportation,248467412,node,13.0743424,80.242421,Chennai Chetpat,,,SR,,,,,,medium
transportation,248545108,node,13.1143904,80.1663975,Pattaravakkam,,,SR,,,,,,medium
transportation,261716087,node,12.7968265,79.8185833,Walajabad,,,SR,,,,,,medium
transportation,262308384,node,13.1373759,80.0601177,Pattabiram Military Siding,,,SR,,,,,,medium
transportation,262308388,node,13.1193895,80.065116,Pattabiram East Siding,,,SR,,,,,,medium
transportation,278746634,node,12.9778068,80.1812484,Nanganallur Bus Terminus,bus_station,,MTC,,,,,,medium
transportation,304278622,node,13.0985386,80.2010061,Anna Nagar West,,,SR,,,,,,medium
transportation,306104406,node,13.06846,80.2051255,Puratchi Thalaivar Dr. M.G.R Bus Terminus,bus_station,,,,,,,,medium
transportation,306113099,node,12.9854773,80.2405635,Taramani,bus_station,,MTC,,,,,,medium
transportation,308032774,node,13.0533394,80.1970832,Saligramam Bus Terminus,bus_station,,,,,,,,medium
transportation,311284385,node,13.1085691,80.2482521,Perambur MTC Terminus,bus_station,,,,,,,,medium
transportation,311337040,node,13.1002428,80.2147138,ICF MTC Terminus,bus_station,,,,,,,,medium
transportation,316260288,node,13.0973052,80.2998905,Chokani Jetty,ferry_terminal,,,,,,,,medium
transportation,321652675,node,13.2820098,80.2537049,Minjur MTC Terminus,bus_station,,,,,,,,medium
transportation,321659385,node,13.1699771,80.2571585,Manali MTC Terminus,bus_station,,,,,,,,medium
transportation,321661962,node,13.1523676,80.2283452,மாதவரம் மாநகர பேருந்து முனையம்,bus_station,,,,,,,,medium
transportation,340042533,node,12.9404439,80.1505864,Hasthinapuram MTC Terminus,bus_station,,,,,,,,medium
transportation,340088810,node,12.9253393,80.1167451,Tambaram MTC Terminus,bus_station,,,,,,,,medium
transportation,340088821,node,12.923598,80.1170906,Tambaram East MTC Terminus,bus_station,,,,,,,,medium
transportation,344420267,node,13.0985912,80.2420039,Ayanavaram MTC Terminus,bus_station,,,,,,,,medium
transportation,360562773,node,12.9739799,80.2029314,Puzhuthivakkam Bus Stand,bus_station,,,,,,,,medium
transportation,373077167,node,13.214722,80.320837,Ennore MTC Terminus,bus_station,,,,,,,,medium
transportation,389964614,node,13.0441595,80.1933034,KK Nagar West MTC Terminus,bus_station,,,,,,,,medium
transportation,402290805,node,13.0695846,80.1240223,Thiruverkadu MTC Bus Terminus,bus_station,,,,,,,,medium
transportation,402298612,node,12.874697,80.2097654,Semmanchery MTC Terminus,bus_station,,,,,,,,medium
transportation,402750050,node,13.1457511,80.250441,Parvathi Nagar MTC Terminus,bus_station,,,,,,,,medium
transportation,442132009,node,12.927719,80.1187421,Tambaram Bus Stand,bus_station,,,,,,,,medium
transportation,442538699,node,12.9628608,80.1982835,Madipakkam Bus Stand,bus_station,,Chennai Metro Transport Services,,,,,,medium
transportation,675894194,node,13.1398634,80.2056795,Vinayakapuram,bus_station,,MTC,,,,,,medium
transportation,1141167996,node,12.7866073,80.2501989,Bus Stand Kovalam,bus_station,,,,,,,,medium
transportation,1145642404,node,12.8447958,80.0618036,Guduvancheri MTC Terminus,bus_station,,,,,,,,medium
transportation,1330414242,node,12.9213092,80.1970496,Unnamed,bus_station,,,,,,,,medium
transportation,1391028778,node,13.0354223,80.2057167,KK Nagar MTC Terminus,bus_station,,,,,,,,medium
transportation,1391573897,node,13.1721641,80.3050914,Thirovttriyur MTC Terminus,bus_station,,,,,,,,medium
transportation,1428608424,node,13.1713741,80.2475064,Mathur MMDA,bus_station,,,,,,,,medium
transportation,1693526124,node,12.91956,80.1822542,Medavakkam Bus Terminus,bus_station,,,,,,,,medium
transportation,2048191334,node,12.7767905,79.8778012,Palayasivaram,,,SR,,,,,,medium
transportation,2481258995,node,13.079587,80.2762947,Chennai Park Town,,,SR,,,,,,medium
transportation,2481258999,node,13.0807537,80.2730879,Chennai Park,,,SR,,,,,,medium
transportation,2481259002,node,13.0516624,80.2306892,Kodambakkam,,,SR,,,,,,medium
transportation,2481259006,node,13.0380662,80.2277752,Mambalam,,,SR,,,,,,medium
transportation,2481259029,node,13.0233098,80.2237191,Saidapet,,,SR,,,,,,medium
transportation,2481969291,node,13.0824232,80.2759622,Puratchi Thalaivar Dr. M. G. Ramachandran Central,,,SR,,,,,,medium
transportation,2486239287,node,13.0619312,80.280596,Chepauk,,,SR,,,,,,medium
transportation,2486239288,node,13.0559352,80.2806044,Thiruvallikeni,,,SR,,,,,,medium
transportation,2605993507,node,13.2813398,80.2602441,Minjur,,,SR,,,,,,medium
transportation,3187977875,node,12.9906385,80.1879401,Palavanthangal,,,SR,,,,,,medium
transportation,3264712327,node,13.0086685,80.2126063,Guindy,,,SR,,,,,,medium
