latitude,longitude,population,density_per_km2
12.81,80.19,6435,5222
12.81,80.2,6543,5310
12.81,80.21,6622,5374
12.81,80.22,6666,5410
12.81,80.23,6674,5417
12.81,80.24,6646,5394
12.81,80.25,6583,5343
12.81,80.26,6488,5266
12.82,80.17,6406,5199
12.82,80.18,6582,5342
12.82,80.19,6736,5467
12.82,80.2,6862,5569
12.82,80.21,6954,5644
12.82,80.22,7006,5686
12.82,80.23,7016,5694
12.82,80.24,6983,5668
12.82,80.25,6909,5607
12.82,80.26,6798,5517
12.82,80.27,6656,5402
12.82,80.28,6489,5267
12.83,80.1,8325,6757
12.83,80.11,8424,6837
12.83,80.12,8480,6883
12.83,80.13,8492,6892
12.83,80.14,8458,6864
12.83,80.15,8380,6801
12.83,80.16,14712,11940
12.83,80.17,6666,5410
12.83,80.18,6867,5573
12.83,80.19,7045,5718
12.83,80.2,7192,5837
12.83,80.21,7301,5926
12.83,80.22,7364,5976
12.83,80.23,7376,5986
12.83,80.24,7336,5954
12.83,80.25,7248,5882
12.83,80.26,7117,5776
12.83,80.27,6952,5642
12.83,80.28,6761,5487
12.83,80.29,6551,5316
12.84,80.08,8381,6802
12.84,80.09,8574,6959
12.84,80.1,8732,7087
12.84,80.11,8847,7180
12.84,80.12,8913,7234
12.84,80.13,8926,7245
12.84,80.14,8886,7212
12.84,80.15,15224,12356
12.84,80.16,15337,12448
12.84,80.17,15404,12502
12.84,80.18,15425,12519
12.84,80.19,7358,5971
12.84,80.2,7532,6113
12.84,80.21,7662,6219
12.84,80.22,7738,6281
12.84,80.23,7753,6292
12.84,80.24,7705,6253
12.84,80.25,7598,6167
12.84,80.26,7442,6040
12.84,80.27,7249,5884
12.84,80.28,7029,5705
12.84,80.29,6792,5512
12.84,80.3,6544,5311
12.85,80.06,8223,6674
12.85,80.07,8495,6894
12.85,80.08,8746,7099
12.85,80.09,8969,7279
12.85,80.1,9153,7429
12.85,80.11,9289,7539
12.85,80.12,9368,7603
12.85,80.13,9384,7616
12.85,80.14,9336,7577
12.85,80.15,15846,12861
12.85,80.16,15962,12955
12.85,80.17,16029,13009
12.85,80.18,16052,13028
12.85,80.19,16031,13011
12.85,80.2,7877,6393
12.85,80.21,8037,6523
12.85,80.22,8131,6600
12.85,80.23,8150,6614
12.85,80.24,8089,6565
12.85,80.25,7958,6459
12.85,80.26,7770,6306
12.85,80.27,7542,6121
12.85,80.28,7289,5916
12.85,80.29,7021,5698
12.85,80.3,6746,5475
12.85,80.31,6469,5250
12.86,80.05,8203,6658
12.86,80.06,8519,6914
12.86,80.07,8824,7162
12.86,80.08,9111,7395
12.86,80.09,9370,7605
12.86,80.1,9587,7781
12.86,80.11,17090,13870
12.86,80.12,17304,14044
12.86,80.13,17408,14129
12.86,80.14,23888,19388
12.86,80.15,24060,19528
12.86,80.16,24134,19588
12.86,80.17,24122,19578
12.86,80.18,24034,19506
12.86,80.19,16646,13510
12.86,80.2,16585,13461
12.86,80.21,8421,6835
12.86,80.22,8543,6933
12.86,80.23,8567,6953
12.86,80.24,8488,6889
12.86,80.25,8322,6754
12.86,80.26,8092,6568
12.86,80.27,7823,6349
12.86,80.28,7531,6112
12.86,80.29,7230,5868
12.86,80.3,6927,5622
12.86,80.31,6627,5379
12.87,80.05,8452,6860
12.87,80.06,8800,7142
12.87,80.07,9142,7420
12.87,80.08,9470,7686
12.87,80.09,17089,13870
12.87,80.1,17545,14240
12.87,80.11,17914,14539
12.87,80.12,18170,14747
12.87,80.13,25602,20779
12.87,80.14,32252,26176
12.87,80.15,32430,26321
12.87,80.16,32461,26346
12.87,80.17,32365,26268
12.87,80.18,24958,20256
12.87,80.19,24784,20115
12.87,80.2,24550,19925
12.87,80.21,23653,19197
12.87,80.22,15638,12692
12.87,80.23,15739,12774
12.87,80.24,15665,12714
12.87,80.25,15443,12534
12.87,80.26,15118,12270
12.87,80.27,14725,11951
12.87,80.28,14286,11595
12.87,80.29,7411,6015
12.87,80.3,7081,5747
12.87,80.31,6760,5486
12.87,80.32,6448,5234
12.88,80.04,8300,6737
12.88,80.05,8677,7042
12.88,80.06,9058,7352
12.88,80.07,9439,7661
12.88,80.08,17187,13950
12.88,80.09,17782,14432
12.88,80.1,18317,14866
12.88,80.11,26198,21263
12.88,80.12,26646,21626
12.88,80.13,33286,27016
12.88,80.14,33638,27301
12.88,80.15,33795,27429
12.88,80.16,33784,27419
12.88,80.17,33635,27299
12.88,80.18,33380,27092
12.88,80.19,39604,32143
12.88,80.2,39496,32056
12.88,80.21,39411,31987
12.88,80.22,23859,19364
12.88,80.23,23972,19456
12.88,80.24,23797,19314
12.88,80.25,23408,18998
12.88,80.26,15719,12758
12.88,80.27,15261,12386
12.88,80.28,14766,11984
12.88,80.29,14249,11565
12.88,80.3,13721,11136
12.88,80.31,6861,5568
12.88,80.32,6535,5304
12.89,80.04,8466,6871
12.89,80.05,8869,7198
12.89,80.06,9282,7533
12.89,80.07,17060,13846
12.89,80.08,17763,14417
12.89,80.09,25822,20958
12.89,80.1,26668,21644
12.89,80.11,27399,22237
12.89,80.12,27947,22683
12.89,80.13,34691,28156
12.89,80.14,35044,28442
12.89,80.15,35157,28534
12.89,80.16,35077,28469
12.89,80.17,42158,34217
12.89,80.18,48624,39464
12.89,80.19,48586,39433
12.89,80.2,48449,39322
12.89,80.21,48209,39128
12.89,80.22,40713,33043
12.89,80.23,32557,26424
12.89,80.24,32372,26274
12.89,80.25,31928,25914
12.89,80.26,31338,25434
12.89,80.27,30636,24865
12.89,80.28,22705,18428
12.89,80.29,22053,17898
12.89,80.3,21360,17336
12.89,80.31,13496,10953
12.89,80.32,6590,5348
12.9,80.04,8595,6976
12.9,80.05,9020,7320
12.9,80.06,9460,7678
12.9,80.07,17495,14200
12.9,80.08,25683,20844
12.9,80.09,26716,21683
12.9,80.1,27704,22485
12.9,80.11,28592,23206
12.9,80.12,29286,23769
12.9,80.13,36123,29318
12.9,80.14,36455,29588
12.9,80.15,36489,29615
12.9,80.16,43708,35474
12.9,80.17,50210,40752
12.9,80.18,50233,40770
12.9,80.19,50156,40708
12.9,80.2,49997,40578
12.9,80.21,57149,46383
12.9,80.22,57031,46287
12.9,80.23,41445,33638
12.9,80.24,33703,27354
12.9,80.25,33172,26923
12.9,80.26,32515,26390
12.9,80.27,31744,25764
12.9,80.28,30877,25061
12.9,80.29,22741,18457
12.9,80.3,21993,17850
12.9,80.31,21218,17221
12.9,80.32,13164,10684
12.91,80.03,8262,6706
12.91,80.04,8682,7046
12.91,80.05,9121,7403
12.91,80.06,17023,13816
12.91,80.07,25208,20459
12.91,80.08,26348,21385
12.91,80.09,27498,22318
12.91,80.1,28636,23242
12.91,80.11,29717,24119
12.91,80.12,30633,24862
12.91,80.13,37575,30497
12.91,80.14,37833,30706
12.91,80.15,45159,36652
12.91,80.16,51651,41921
12.91,80.17,51726,41982
12.91,80.18,51678,41943
12.91,80.19,51537,41829
12.91,80.2,58779,47706
12.91,80.21,58704,47646
12.91,80.22,58466,47452
12.91,80.23,49761,40387
12.91,80.24,42095,34165
12.91,80.25,41663,33814
12.91,80.26,41003,33279
12.91,80.27,40157,32592
12.91,80.28,39159,31782
12.91,80.29,30831,25023
12.91,80.3,22575,18322
12.91,80.31,21746,17650
12.91,80.32,20904,16966
12.91,80.33,7314,5936
12.92,80.03,8295,6732
12.92,80.04,8720,7077
12.92,80.05,9167,7440
12.92,80.06,17225,13980
12.92,80.07,25652,20819
12.92,80.08,26867,21806
12.92,80.09,28113,22817
12.92,80.1,29377,23843
12.92,80.11,30636,24865
12.92,80.12,31848,25848
12.92,80.13,39006,31658
12.92,80.14,46403,37661
12.92,80.15,46491,37733
12.92,80.16,53051,43058
12.92,80.17,53045,43052
12.92,80.18,52915,42947
12.92,80.19,60160,48827
12.92,80.2,60136,48807
12.92,80.21,67313,54632
12.92,80.22,67119,54475
12.92,80.23,58466,47452
12.92,80.24,50673,41128
12.92,80.25,43024,34919
12.92,80.26,42382,34398
12.92,80.27,41495,33678
12.92,80.28,40420,32806
12.92,80.29,39210,31824
12.92,80.3,37907,30766
12.92,80.31,22214,18029
12.92,80.32,21321,17305
12.92,80.33,14200,11525
12.92,80.34,7292,5918
12.93,80.03,8286,6725
12.93,80.04,8709,7069
12.93,80.05,16489,13383
12.93,80.06,24728,20070
12.93,80.07,25945,21058
12.93,80.08,27208,22083
12.93,80.09,28512,23141
12.93,80.1,29844,24222
12.93,80.11,31177,25304
12.93,80.12,32434,26324
12.93,80.13,33232,26972
12.93,80.14,47394,38466
12.93,80.15,54070,43884
12.93,80.16,54205,43994
12.93,80.17,54115,43920
12.93,80.18,61286,49741
12.93,80.19,71172,57765
12.93,80.2,78696,63871
12.93,80.21,78824,63975
12.93,80.22,78672,63852
12.93,80.23,70054,56857
12.93,80.24,69461,56376
12.93,80.25,54323,44090
12.93,80.26,53519,43437
12.93,80.27,42776,34718
12.93,80.28,41613,33774
12.93,80.29,40300,32708
12.93,80.3,38891,31565
12.93,80.31,30154,24473
12.93,80.32,28991,23530
12.93,80.33,14576,11830
12.93,80.34,7510,6095
12.94,80.03,8235,6683
12.94,80.04,8650,7020
12.94,80.05,16481,13376
12.94,80.06,24843,20163
12.94,80.07,26076,21163
12.94,80.08,27355,22202
12.94,80.09,28674,23272
12.94,80.1,30015,24361
