latitude,longitude,population,density_per_km2
13.05,80.23,188065,152638
13.06,80.23,185404,150478
13.05,80.24,182415,148052
13.05,80.25,180672,146638
13.06,80.24,179855,145974
13.04,80.24,178679,145020
13.06,80.25,178292,144706
13.05,80.22,177539,144095
13.04,80.25,177068,143712
13.06,80.22,176208,143014
13.07,80.24,175861,142733
13.07,80.23,175365,142330
13.07,80.22,173248,140611
13.03,80.2,172008,139606
13.04,80.23,170766,138597
13.03,80.24,169926,137916
13.04,80.21,169511,137578
13.02,80.21,168890,137075
13.03,80.25,168889,137074
13.04,80.26,168887,137073
13.07,80.25,168219,136530
13.0,80.23,168011,136361
13.05,80.26,167570,136003
13.03,80.19,167357,135830
13.02,80.23,167236,135732
13.04,80.19,167211,135712
13.03,80.22,166785,135366
12.99,80.2,166758,135345
13.0,80.22,166672,135275
13.04,80.22,166432,135080
13.02,80.22,165297,134159
13.04,80.27,165168,134054
13.03,80.27,164972,133895
12.99,80.23,164835,133784
13.04,80.2,164809,133762
13.02,80.2,164659,133641
13.05,80.2,163931,133050
12.99,80.22,163727,132885
13.05,80.27,163672,132840
12.99,80.19,163586,132770
13.01,80.22,163274,132517
13.06,80.26,163136,132405
13.03,80.21,162685,132039
13.07,80.21,162599,131969
13.03,80.23,162072,131542
12.99,80.21,161512,131087
13.05,80.21,161361,130964
13.03,80.26,161165,130805
13.01,80.21,160389,130175
13.02,80.24,160327,130125
