date,rainfall_mm,temperature_c
2024-01-01,0.23,24.34
2024-01-02,0.04,24.28
2024-01-03,1.01,24.57
2024-01-04,2.55,25.06
2024-01-05,1.07,25.03
2024-01-06,2.85,25.18
2024-01-07,40.16,24.68
2024-01-08,8.1,25.39
2024-01-09,0.68,25.29
2024-01-10,0.02,24.91
2024-01-11,0.0,24.61
2024-01-12,0.0,25.09
2024-01-13,0.0,24.89
2024-01-14,0.0,24.31
2024-01-15,0.0,24.4
2024-01-16,0.0,23.97
2024-01-17,0.0,24.11
2024-01-18,0.0,24.49
2024-01-19,0.01,25.01
2024-01-20,0.0,24.89
2024-01-21,0.0,24.68
2024-01-22,0.0,24.93
2024-01-23,0.0,24.96
2024-01-24,0.0,25.06
2024-01-25,0.0,25.07
2024-01-26,0.02,24.64
2024-01-27,0.05,24.82
2024-01-28,0.0,24.73
2024-01-29,0.0,24.16
2024-01-30,0.0,24.13
2024-01-31,0.0,25.19
2024-02-01,0.02,26.1
2024-02-02,0.02,26.56
2024-02-03,0.0,26.23
2024-02-04,0.0,25.56
2024-02-05,0.0,25.42
2024-02-06,0.0,25.28
2024-02-07,0.0,25.35
2024-02-08,0.0,25.48
2024-02-09,0.0,25.84
2024-02-10,0.0,26.17
2024-02-11,0.0,25.8
2024-02-12,0.0,25.5
2024-02-13,0.0,26.01
2024-02-14,0.0,26.1
2024-02-15,0.0,25.65
2024-02-16,0.0,25.85
2024-02-17,0.0,25.81
2024-02-18,0.0,25.97
2024-02-19,0.0,26.67
2024-02-20,0.0,26.95
2024-02-21,0.0,26.98
2024-02-22,0.0,27.77
2024-02-23,0.01,28.41
2024-02-24,0.0,28.0
2024-02-25,0.0,27.35
2024-02-26,0.0,27.31
2024-02-27,0.0,27.15
2024-02-28,0.0,26.59
2024-02-29,0.0,27.01
2024-03-01,0.0,27.48
2024-03-02,0.0,27.65
2024-03-03,0.0,27.46
2024-03-04,0.0,27.14
2024-03-05,0.0,27.56
2024-03-06,0.0,27.74
2024-03-07,0.0,27.87
2024-03-08,0.0,27.96
2024-03-09,0.0,28.49
2024-03-10,0.0,28.55
2024-03-11,0.01,28.76
2024-03-12,0.0,28.95
2024-03-13,0.0,29.33
2024-03-14,0.0,29.38
2024-03-15,0.0,28.98
2024-03-16,0.0,29.0
2024-03-17,0.0,29.02
2024-03-18,0.0,29.04
2024-03-19,0.0,29.06
2024-03-20,0.0,28.56
2024-03-21,0.02,29.23
2024-03-22,0.0,29.56
2024-03-23,0.0,29.25
2024-03-24,0.0,29.34
2024-03-25,0.0,29.39
2024-03-26,0.0,29.14
2024-03-27,0.0,29.3
2024-03-28,0.0,30.12
2024-03-29,0.0,30.39
2024-03-30,0.0,30.17
2024-03-31,0.0,30.04
2024-04-01,0.0,30.65
2024-04-02,0.0,30.71
2024-04-03,0.0,30.49
2024-04-04,0.0,30.88
2024-04-05,0.0,31.29
2024-04-06,0.0,31.85
2024-04-07,0.0,31.75
2024-04-08,0.0,30.84
2024-04-09,0.0,30.85
2024-04-10,0.0,30.95
2024-04-11,0.03,31.41
2024-04-12,0.05,31.39
2024-04-13,0.06,31.33
2024-04-14,0.04,31.25
2024-04-15,0.0,31.41
2024-04-16,0.0,31.61
2024-04-17,0.0,32.22
2024-04-18,0.0,32.5
2024-04-19,0.0,32.59
2024-04-20,0.01,32.29
2024-04-21,0.01,32.18
2024-04-22,0.0,32.05
2024-04-23,0.0,31.95
2024-04-24,0.0,32.32
2024-04-25,0.0,32.51
2024-04-26,0.0,32.34
2024-04-27,0.0,32.01
2024-04-28,0.0,32.16
2024-04-29,0.0,32.14
2024-04-30,0.0,32.17
2024-05-01,0.01,33.78
2024-05-02,0.01,33.83
2024-05-03,0.03,33.53
2024-05-04,0.86,33.14
2024-05-05,0.29,33.5
2024-05-06,0.64,33.43
2024-05-07,2.35,32.48
2024-05-08,4.73,31.53
2024-05-09,0.83,31.37
2024-05-10,0.98,31.75
2024-05-11,0.31,31.72
2024-05-12,0.41,31.54
2024-05-13,0.64,31.32
2024-05-14,0.59,31.12
2024-05-15,0.4,31.48
2024-05-16,7.7,28.92
2024-05-17,2.99,29.78
2024-05-18,1.74,30.2
2024-05-19,2.76,30.71
2024-05-20,4.13,30.12
2024-05-21,1.98,30.2
2024-05-22,0.73,30.97
2024-05-23,0.34,31.09
2024-05-24,0.03,31.75
2024-05-25,1.18,31.53
2024-05-26,0.05,33.33
2024-05-27,0.01,34.14
2024-05-28,0.01,33.79
2024-05-29,0.01,34.6
2024-05-30,0.26,34.53
2024-05-31,0.29,34.06
2024-06-01,6.81,33.33
2024-06-02,12.36,29.65
2024-06-03,1.7,29.58
2024-06-04,5.73,30.56
2024-06-05,22.77,29.74
2024-06-06,13.65,28.47
2024-06-07,11.92,28.78
2024-06-08,4.97,30.3
2024-06-09,2.93,29.9
2024-06-10,1.81,30.54
2024-06-11,4.55,29.07
2024-06-12,6.39,28.93
2024-06-13,1.3,30.14
2024-06-14,0.07,29.67
2024-06-15,0.96,30.09
2024-06-16,6.97,30.79
2024-06-17,13.08,29.86
